Area Type,Area Name,Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,3,13-2000,Financial Specialists,28760,32240,3480,12.1,7620,17090,28190,0.00,0,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,13-2011,Accountants and Auditors,12190,13850,1660,13.6,3630,7710,13000,39.20,"81,539",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,13-2020,Property Appraisers and Assessors,460,490,30,6.5,180,170,380,38.09,"79,233",Bachelor's degree,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,13-2031,Budget Analysts,490,540,50,10.2,120,270,440,41.75,"86,843",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,13-2041,Credit Analysts,600,610,10,1.7,100,410,520,38.35,"79,758",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,13-2052,Personal Financial Advisors,3540,4010,470,13.3,860,1860,3190,51.33,"106,759",Bachelor's degree,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,13-2053,Insurance Underwriters,840,840,0,0.0,170,440,610,48.34,"100,550",Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,13-2061,Financial Examiners,200,240,40,20.0,60,100,200,49.50,"102,970",Bachelor's degree,None,Long-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,13-2071,Credit Counselors,200,230,30,15.0,50,120,200,23.80,"49,502",Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,13-2072,Loan Officers,3550,3910,360,10.1,800,2030,3190,31.63,"65,794",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,13-2081,"Tax Examiners and Collectors, and Revenue Agents",360,360,0,0.0,140,160,300,33.55,"69,789",Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,13-2082,Tax Preparers,910,900,-10,-1.1,490,500,980,23.38,"48,617",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",5420,6270,850,15.7,1030,3340,5220,0.00,0,Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,2,15-0000,Computer and Mathematical Occupations,62580,76270,13690,21.9,14860,34130,62680,51.00,"106,096",N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,3,15-1200,Computer Occupations,59800,72380,12580,21.0,14180,32520,59280,0.00,0,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,15-1211,Computer Systems Analysts,5450,6170,720,13.2,1130,2860,4710,50.39,"104,811",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,15-1212,Information Security Analysts,1110,1640,530,47.7,210,760,1500,51.11,"106,303",Bachelor's degree,Less than 5 years,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,15-1221,Computer and Information Research Scientists,1100,1360,260,23.6,220,620,1100,66.77,"138,885",Master's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,15-1231,Computer Network Support Specialists,1210,1360,150,12.4,240,680,1070,33.48,"69,650",Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,15-1232,Computer User Support Specialists,4630,5430,800,17.3,950,2660,4410,30.31,"63,040","Some college, no degree",None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,15-1241,Computer Network Architects,1700,1960,260,15.3,250,830,1340,51.59,"107,308",Bachelor's degree,5 years or more,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,15-1244,Network and Computer Systems Administrators,2670,2970,300,11.2,470,1330,2100,49.15,"102,232",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,15-1245,Database Administrators and Architects,1390,1630,240,17.3,350,740,1330,0.00,0,Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,15-1251,Computer Programmers,3950,3810,-140,-3.5,770,1770,2400,62.15,"129,261",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,23820,30990,7170,30.1,6360,13440,26970,0.00,0,Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,15-1257,Web Developers and Digital Interface Designers,2220,2710,490,22.1,570,1210,2270,0.00,0,Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,15-1299,"Computer Occupations, All Other",10560,12360,1800,17.0,2660,5620,10080,48.84,"101,569",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,3,15-2000,Mathematical Science Occupations,2790,3890,1100,39.4,680,1610,3390,0.00,0,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,15-2031,Operations Research Analysts,640,840,200,31.3,160,320,680,41.77,"86,889",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,15-2041,Statisticians,480,720,240,50.0,120,300,660,44.43,"92,410",Master's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",1550,2200,650,41.9,380,940,1970,0.00,0,Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,2,17-0000,Architecture and Engineering Occupations,40150,46810,6660,16.6,10180,20740,37580,49.69,"103,361",N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,3,17-1000,"Architects, Surveyors, and Cartographers",2270,2710,440,19.4,720,1100,2260,0.00,0,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-1011,"Architects, Except Landscape and Naval",1290,1560,270,20.9,390,610,1270,40.97,"85,231",Bachelor's degree,None,Internship/residency
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-1012,Landscape Architects,430,510,80,18.6,130,200,410,38.95,"81,015",Bachelor's degree,None,Internship/residency
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-1021,Cartographers and Photogrammetrists,120,150,30,25.0,50,70,150,30.69,"63,817",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-1022,Surveyors,420,490,70,16.7,160,230,460,48.85,"101,600",Bachelor's degree,None,Internship/residency
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,3,17-2000,Engineers,28700,33770,5070,17.7,6490,13480,25040,0.00,0,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-2011,Aerospace Engineers,990,1180,190,19.2,220,380,790,56.64,"117,803",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-2031,Biomedical Engineers,460,540,80,17.4,110,210,400,48.52,"100,916",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-2041,Chemical Engineers,110,130,20,18.2,20,40,80,49.96,"103,900",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-2051,Civil Engineers,5300,6530,1230,23.2,1180,2950,5360,49.07,"102,066",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-2061,Computer Hardware Engineers,3780,4540,760,20.1,790,1950,3500,82.17,"170,918",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-2071,Electrical Engineers,3130,3660,530,16.9,810,1360,2700,54.24,"112,830",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-2072,"Electronics Engineers, Except Computer",3350,3770,420,12.5,850,1430,2700,63.92,"132,949",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-2081,Environmental Engineers,630,710,80,12.7,160,330,570,51.79,"107,733",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",170,190,20,11.8,40,70,130,53.27,"110,799",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-2112,Industrial Engineers,2650,3270,620,23.4,650,1180,2450,49.63,"103,237",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-2131,Materials Engineers,230,260,30,13.0,50,90,170,48.92,"101,755",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-2141,Mechanical Engineers,3640,4140,500,13.7,670,1600,2770,50.64,"105,329",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-2199,"Engineers, All Other",3890,4430,540,13.9,880,1720,3140,50.86,"105,785",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,3,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",9180,10330,1150,12.5,2970,6170,10290,0.00,0,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-3011,Architectural and Civil Drafters,1320,1550,230,17.4,440,910,1580,30.76,"63,972",Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-3012,Electrical and Electronics Drafters,280,320,40,14.3,90,190,320,31.14,"64,781",Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-3013,Mechanical Drafters,380,390,10,2.6,120,240,370,31.40,"65,319",Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-3019,"Drafters, All Other",200,210,10,5.0,60,130,200,29.55,"61,465",Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-3021,Aerospace Engineering and Operations Technicians,250,310,60,24.0,80,170,310,39.76,"82,693",Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-3022,Civil Engineering Technicians,480,550,70,14.6,150,320,540,30.56,"63,568",Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-3023,Electrical and Electronics Engineering Technicians,2860,3100,240,8.4,900,1830,2970,33.12,"68,893",Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-3024,Electro-Mechanical Technicians,140,160,20,14.3,50,90,160,29.55,"61,465",Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-3025,Environmental Engineering Technicians,110,130,20,18.2,40,70,130,29.66,"61,704",Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-3026,Industrial Engineering Technicians,450,500,50,11.1,140,290,480,30.71,"63,869",Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-3027,Mechanical Engineering Technicians,540,640,100,18.5,180,360,640,30.06,"62,532",Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-3031,Surveying and Mapping Technicians,440,520,80,18.2,170,410,660,30.29,"63,009",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,17-3098,"Calibration and Engineering Technologists and Technicians, Except Drafters, All Other",1730,1970,240,13.9,560,1140,1940,0.00,0,Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,2,19-0000,"Life, Physical, and Social Science Occupations",27280,32950,5670,20.8,6030,21390,33090,39.34,"81,823",N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,3,19-1000,Life Scientists,10030,12660,2630,26.2,1750,7540,11920,0.00,0,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-1013,Soil and Plant Scientists,180,230,50,27.8,40,170,260,54.72,"113,824",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-1021,Biochemists and Biophysicists,2230,2800,570,25.6,410,1770,2750,52.62,"109,432",Doctoral or professional degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-1022,Microbiologists,400,490,90,22.5,70,320,480,40.82,"84,889",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-1023,Zoologists and Wildlife Biologists,130,140,10,7.7,20,90,120,41.04,"85,355",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-1029,"Biological Scientists, All Other",3590,4490,900,25.1,650,2840,4390,49.48,"102,915",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-1042,"Medical Scientists, Except Epidemiologists",3040,3960,920,30.3,460,2010,3390,50.76,"105,588",Doctoral or professional degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-1099,"Life Scientists, All Other",230,260,30,13.0,30,140,200,49.89,"103,775",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,3,19-2000,Physical Scientists,3190,3850,660,20.7,550,2630,3840,0.00,0,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-2012,Physicists,150,170,20,13.3,30,80,130,66.77,"138,885",Doctoral or professional degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-2031,Chemists,1250,1580,330,26.4,210,1050,1590,39.23,"81,595",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-2041,"Environmental Scientists and Specialists, Including Health",1120,1330,210,18.8,200,970,1380,40.80,"84,858",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-2042,"Geoscientists, Except Hydrologists and Geographers",300,360,60,20.0,60,260,380,49.58,"103,133",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-2099,"Physical Scientists, All Other",170,180,10,5.9,20,110,140,61.63,"128,194",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,3,19-3000,Social Scientists and Related Workers,4920,5440,520,10.6,1220,2500,4240,0.00,0,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-3011,Economists,120,160,40,33.3,30,70,140,58.08,"120,786",Master's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-3022,Survey Researchers,160,170,10,6.3,40,110,160,30.06,"62,532",Master's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-3031,"Clinical, Counseling, and School Psychologists",1770,2040,270,15.3,500,750,1520,0.00,0,Doctoral or professional degree,None,Internship/residency
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-3032,Industrial-Organizational Psychologists,430,450,20,4.7,120,170,310,0.00,0,Master's degree,None,Internship/residency
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-3039,"Psychologists, All Other",1050,1080,30,2.9,280,420,730,56.49,"117,502",Master's degree,None,Internship/residency
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-3051,Urban and Regional Planners,790,860,70,8.9,130,570,770,48.52,"100,916",Master's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-3091,Anthropologists and Archeologists,210,250,40,19.0,50,150,240,31.41,"65,330",Master's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-3099,"Social Scientists and Related Workers, All Other",340,360,20,5.9,80,230,330,44.63,"92,835",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,3,19-4000,"Life, Physical, and Social Science Technicians",7660,9220,1560,20.4,2070,8020,11650,0.00,0,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-4010,Agricultural and Food Science Technicians,210,250,40,19.0,50,240,330,0.00,0,Associate's degree,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-4021,Biological Technicians,1710,2150,440,25.7,460,1930,2830,24.85,"51,696",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-4031,Chemical Technicians,1170,1460,290,24.8,230,1180,1700,23.97,"49,862",Associate's degree,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-4042,"Environmental Science and Protection Technicians, Including Health",670,850,180,26.9,200,710,1090,23.22,"48,288",Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-4045,Geological and Hydrologic Technicians,110,130,20,18.2,30,110,160,0.00,0,Associate's degree,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-4061,Social Science Research Assistants,1770,1930,160,9.0,500,1740,2400,23.81,"49,520",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-4071,Forest and Conservation Technicians,360,390,30,8.3,100,350,480,20.31,"42,237",Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-4092,Forensic Science Technicians,190,220,30,15.8,60,190,280,40.80,"84,858",Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-4099,"Life, Physical, and Social Science Technicians, All Other",1460,1850,390,26.7,440,1550,2380,29.43,"61,227",Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,3,19-5000,Occupational Health and Safety Specialists and Technicians,1480,1770,290,19.6,440,700,1430,0.00,0,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-5011,Occupational Health and Safety Specialists,1120,1310,190,17.0,330,520,1040,42.02,"87,396",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,19-5012,Occupational Health and Safety Technicians,360,470,110,30.6,110,180,400,24.54,"51,054",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,2,21-0000,Community and Social Service Occupations,28060,31780,3720,13.3,10010,19070,32800,24.72,"51,416",N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,3,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",25120,28720,3600,14.3,8720,17100,29420,0.00,0,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,21-1012,"Educational, Guidance, School, and Vocational Counselors",2840,3190,350,12.3,980,1790,3120,36.86,"76,674",Master's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,21-1013,Marriage and Family Therapists,3960,4790,830,21.0,1420,2590,4840,24.53,"51,023",Master's degree,None,Internship/residency
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,21-1015,Rehabilitation Counselors,860,940,80,9.3,290,540,910,15.48,"32,199",Master's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",3010,3570,560,18.6,1070,1950,3580,23.57,"49,013",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,21-1019,"Counselors, All Other",1650,1870,220,13.3,570,1040,1830,19.08,"39,699",Master's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,21-1021,"Child, Family, and School Social Workers",3420,3680,260,7.6,1000,2240,3500,30.67,"63,796",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,21-1022,Healthcare Social Workers,1090,1260,170,15.6,330,740,1240,38.59,"80,258",Master's degree,None,Internship/residency
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,21-1023,Mental Health and Substance Abuse Social Workers,1040,1200,160,15.4,310,710,1180,30.54,"63,517",Master's degree,None,Internship/residency
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,21-1029,"Social Workers, All Other",760,800,40,5.3,220,490,750,30.73,"63,910",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,21-1091,Health Educators,490,570,80,16.3,180,360,620,25.85,"53,768",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,21-1092,Probation Officers and Correctional Treatment Specialists,690,730,40,5.8,150,430,620,38.56,"80,206",Bachelor's degree,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,21-1093,Social and Human Service Assistants,3950,4510,560,14.2,1690,3190,5440,21.42,"44,548",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,21-1094,Community Health Workers,460,560,100,21.7,170,350,620,23.19,"48,215",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,21-1099,"Community and Social Service Specialists, All Other",900,1050,150,16.7,330,670,1150,24.39,"50,722",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,3,21-2000,Religious Workers,2940,3070,130,4.4,1280,1970,3380,0.00,0,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,21-2011,Clergy,1330,1400,70,5.3,560,790,1420,31.30,"65,112",Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,21-2021,"Directors, Religious Activities and Education",1260,1300,40,3.2,510,930,1480,24.73,"51,437",Bachelor's degree,Less than 5 years,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,21-2099,"Religious Workers, All Other",350,370,20,5.7,210,250,480,22.84,"47,500",Bachelor's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,2,23-0000,Legal Occupations,14100,16550,2450,17.4,4060,5620,12130,51.76,"107,650",N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,3,23-1000,"Lawyers, Judges, and Related Workers",9900,11650,1750,17.7,2330,2660,6740,0.00,0,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,23-1011,Lawyers,9530,11240,1710,17.9,2250,2560,6520,75.07,"156,145",Doctoral or professional degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",120,120,0,0.0,30,30,60,0.00,0,Doctoral or professional degree,5 years or more,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,23-1023,"Judges, Magistrate Judges, and Magistrates",150,160,10,6.7,30,40,80,0.00,0,Doctoral or professional degree,5 years or more,Short-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,3,23-2000,Legal Support Workers,4200,4900,700,16.7,1730,2960,5390,0.00,0,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,23-2011,Paralegals and Legal Assistants,2990,3600,610,20.4,1280,2230,4120,31.42,"65,350",Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,23-2093,"Title Examiners, Abstractors, and Searchers",170,180,10,5.9,60,100,170,30.67,"63,786",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,23-2099,"Legal Support Workers, All Other",1040,1110,70,6.7,390,630,1090,25.10,"52,214",Associate's degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,2,25-0000,"Education, Training, and Library Occupations",87570,98350,10780,12.3,41650,43860,96290,29.84,"62,056",N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,3,25-1000,Postsecondary Teachers,15750,17560,1810,11.5,7450,7780,17040,0.00,0,N/A,N/A,N/A
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,25-1011,"Business Teachers, Postsecondary",570,620,50,8.8,270,280,600,0.00,"159,190",Doctoral or professional degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,25-1021,"Computer Science Teachers, Postsecondary",250,270,20,8.0,120,120,260,0.00,"136,823",Doctoral or professional degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,25-1022,"Mathematical Science Teachers, Postsecondary",510,550,40,7.8,240,250,530,0.00,"128,888",Doctoral or professional degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,25-1032,"Engineering Teachers, Postsecondary",410,460,50,12.2,190,200,440,0.00,"139,185",Doctoral or professional degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,25-1042,"Biological Science Teachers, Postsecondary",540,640,100,18.5,270,280,650,0.00,"136,823",Doctoral or professional degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,25-1052,"Chemistry Teachers, Postsecondary",300,340,40,13.3,140,150,330,0.00,"133,943",Doctoral or professional degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,25-1054,"Physics Teachers, Postsecondary",170,190,20,11.8,80,90,190,0.00,"136,823",Doctoral or professional degree,None,None
Metropolitan Area,San Diego-Carlsbad MSA (San Diego County),2020-2030,4,25-1061,"Anthropology and Archeology Teachers, Postsecondary",160,180,20,12.5,80,80,180,0.00,"107,339",Doctoral or professional degree,None,None
